<BOS> huene sie 900 1
<BOS> huggien endi 900 1
<BOS> hugi an 900 1
<BOS> hugi at 900 1
<BOS> hugi uuard 900 2
<BOS> huneo truhtin 800 1
<BOS> hungar hetigrim 900 1
<BOS> huob her 900 1
<BOS> hurolob ni 1000 1
<BOS> huuan êr 900 1
<BOS> huuand gi 900 1
<BOS> huuand thar 900 2
<BOS> huuand that 900 1
<BOS> huuanda uuit 900 1
<BOS> huuat <EOS> 900 1
<BOS> huuat gi 900 1
<BOS> huuat sculun 900 1
<BOS> huuat thu 900 1
<BOS> huuirib̵it thiu 900 1
<BOS> huurbun ina 900 1
<BOS> huurbun umbi 900 1
<BOS> huî gangat 900 1
<BOS> huî mohta 900 1
<BOS> huô sia 900 1
<BOS> huô thiu 900 1
<BOS> hábet mîna 1000 1
<BOS> hâhan that 900 1
<BOS> hélfâre mîner 1000 1
<BOS> héue ih 1000 1
<BOS> hêdro fon 900 1
<BOS> hêl fan 900 1
<BOS> hêlag drohtin 900 2
<BOS> hêlag fan 900 1
<BOS> hêlag fon 900 1
<BOS> hêlag hebencuning 900 1
<BOS> hêlag himilisc 900 2
<BOS> hêlag hûs 900 1
<BOS> hêlag te 900 1
<BOS> hêlaga helpa 900 1
<BOS> hêlaga hôrean 900 1
<BOS> hêlages gêstes 900 1
<BOS> hêlagna hebancuning 900 1
<BOS> hêlagna krist 900 1
<BOS> hêlagon handon 900 1
<BOS> hêlagumu gêste 900 1
<BOS> hêlandero bestan 900 1
<BOS> hêleand gestôd 900 1
<BOS> hêleandero bezt 900 1
<BOS> hêr hebencuning 900 1
<BOS> hêran hebencuning 900 1
<BOS> hêrost obar 900 1
<BOS> hêrro mîn 1000 1
<BOS> hêrro the 900 4
<BOS> hêrron aftar 900 1
